subID,groupnr,condition,cooperation,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,groupgender,grouphomog,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
MYB,50,0,2.3333333333333335,5,4,2,1,1,1,24,1,1,0,4,1,2,3,4,1,1,1,3,4,3,2,1,3,2,4,4,1,3,1,5,1,4,2,3,5,4,4,3,2,1,5,4,1,1,2,1,2,6,4
MYC,50,0,1.8333333333333333,3,2,1,3,1,1,20,0,1,0,4,2,2,2,3,1,1,1,2,1,2,3,1,1,1,2,2,1,3,1,1,1,1,2,2,3,2,1,2,2,1,1,2,1,1,2,1,4,2,2
MZA,51,0,3.6666666666666665,7,4,7,1,2,1,21,0,0,1,5,3,4,1,3,3,1,1,4,3,4,3,1,4,4,2,3,4,3,1,1,1,3,1,1,5,3,3,1,1,1,4,4,1,1,1,1,1,6,5
MZB,51,0,2,7,1,1,1,1,1,20,0,0,1,4,1,4,2,4,2,1,1,3,3,1,4,1,2,2,3,4,1,4,1,1,1,4,2,1,4,3,4,1,1,1,2,3,2,1,1,1,1,5,5
MZC,51,0,1.5,1,3,2,1,1,1,21,0,0,1,2,4,2,2,3,1,1,1,1,1,1,3,2,4,2,3,2,2,2,2,2,2,2,2,1,4,3,2,1,1,1,2,3,1,1,1,6,4,1,1
KAA,12,1,3.8333333333333335,4,6,2,3,1,7,21,0,0,1,4,1,5,2,4,1,1,1,4,4,1,2,1,3,1,3,3,1,4,1,1,1,2,1,1,3,3,3,4,1,1,1,4,1,1,3,7,5,NA,NA
KAB,12,1,5,6,6,7,5,5,1,20,0,0,1,4,2,1,4,2,4,1,2,2,2,4,5,1,1,4,3,3,3,4,1,2,3,1,2,4,4,1,1,4,3,4,2,1,2,2,4,8,6,NA,NA
KAC,12,1,3.8333333333333335,2,7,4,3,4,3,20,0,0,1,5,1,4,4,3,1,2,1,4,3,2,2,1,2,2,3,2,1,4,1,1,1,1,2,1,4,3,1,3,1,1,1,2,1,1,2,4,5,NA,NA
KBA,13,1,2.8333333333333335,1,7,1,3,1,4,24,0,1,0,4,1,3,1,4,1,1,1,3,3,1,2,1,1,2,3,4,1,5,1,1,1,2,1,1,3,1,1,3,1,1,1,3,1,1,1,6,5,NA,NA
KBB,13,1,2.6666666666666665,5,4,3,2,1,1,20,1,1,0,4,1,4,3,4,1,1,1,3,4,2,4,1,3,1,4,4,1,4,1,1,1,4,2,2,4,4,4,3,3,1,4,4,1,2,1,8,6,NA,NA
KBC,13,1,2.6666666666666665,3,4,2,1,2,4,20,0,1,0,3,1,1,1,2,1,1,1,3,1,1,4,1,2,1,2,4,2,4,1,1,1,1,1,1,4,2,1,4,1,1,1,1,1,1,2,8,6,NA,NA
KCA,14,1,1,1,1,1,1,1,1,24,1,2,0,4,2,5,4,4,2,1,1,4,5,2,1,2,2,2,2,4,1,3,1,2,1,3,1,1,4,2,1,4,2,2,1,4,2,1,3,5,4,NA,NA
KCB,14,1,3.3333333333333335,3,7,2,1,3,4,19,0,2,0,3,2,4,4,1,1,1,1,3,2,1,5,1,1,5,3,5,4,3,3,3,3,1,2,1,4,3,1,5,3,1,1,3,1,1,3,7,10,NA,NA
KCC,14,1,1.5,3,2,1,1,1,1,19,1,2,0,4,2,4,4,2,2,2,2,2,2,4,5,4,2,4,4,4,4,2,2,1,1,1,4,3,4,2,2,3,4,3,1,4,2,2,4,8,5,NA,NA
KDA,15,1,3.6666666666666665,4,3,4,5,3,3,24,0,1,0,4,1,4,4,3,1,1,1,4,3,2,3,1,2,4,3,4,1,4,1,3,3,2,4,1,5,3,2,4,1,1,3,4,1,2,4,7,7,NA,NA
KDB,15,1,5.333333333333333,7,6,6,3,4,6,21,0,1,0,4,3,4,4,2,4,2,2,3,2,2,4,4,4,4,3,4,4,3,2,2,4,1,4,1,5,3,2,5,2,1,3,4,1,NA,4,7,7,NA,NA
KDC,15,1,6,7,7,7,7,4,4,20,1,1,0,3,1,3,2,2,1,2,1,3,2,1,1,2,3,3,3,3,2,3,2,3,2,2,3,2,4,3,2,3,2,2,2,2,2,2,3,5,4,NA,NA
KEA,16,1,6,7,7,7,7,7,1,20,0,1,0,3,3,3,2,3,4,1,1,2,2,3,1,1,1,2,2,2,2,4,1,1,1,5,2,2,4,1,2,4,3,2,2,3,2,1,4,7,6,NA,NA
KEB,16,1,3.6666666666666665,1,4,7,2,5,3,20,1,1,0,4,1,3,2,3,1,1,2,3,3,1,5,1,4,2,4,4,1,5,1,2,1,2,3,1,4,3,2,3,1,1,2,4,1,1,3,5,6,NA,NA
KEC,16,1,3,3,3,3,3,3,3,22,0,1,0,4,1,4,3,NA,1,2,1,3,1,1,3,1,2,2,3,4,4,4,3,2,2,1,4,3,5,2,1,4,4,1,1,3,1,1,3,4,6,NA,NA
KFA,17,1,1,1,1,1,1,1,1,26,0,1,0,2,1,4,2,1,2,1,1,4,3,1,1,4,3,2,4,4,2,4,1,2,2,1,1,1,4,3,2,4,3,2,2,4,2,1,4,6,5,NA,NA
KFB,17,1,2.5,4,2,4,1,3,1,20,0,1,0,3,1,2,4,2,1,2,1,2,2,1,4,1,1,3,2,4,1,2,2,2,1,1,1,1,3,1,1,2,1,1,1,2,1,1,2,2,3,NA,NA
KFC,17,1,2.1666666666666665,4,2,4,1,1,1,23,1,1,0,4,1,4,2,4,1,1,1,4,4,1,3,1,3,3,4,3,3,3,2,2,2,2,2,1,4,3,3,4,1,1,3,4,2,1,3,8,7,NA,NA
KGA,18,1,5.166666666666667,4,1,5,7,7,7,20,0,2,0,3,1,3,4,4,1,1,1,4,4,1,5,2,4,2,4,4,1,4,2,3,3,1,3,4,4,4,1,4,2,1,5,3,3,3,4,7,7,NA,NA
KGB,18,1,4.5,7,1,5,6,7,1,20,1,2,0,4,1,2,1,3,1,1,1,4,3,2,5,2,3,2,4,5,1,3,1,3,1,1,3,2,5,3,1,5,1,1,2,4,1,1,4,9,7,NA,NA
KGC,18,1,7,7,7,7,7,7,7,23,1,2,0,4,2,4,3,2,1,1,1,1,1,2,4,1,2,3,2,3,NA,2,1,1,1,2,3,1,5,3,1,4,3,1,2,3,1,1,3,7,6,NA,NA
KHA,19,1,4.333333333333333,4,2,4,5,6,5,20,0,1,0,3,1,3,1,5,1,2,1,5,4,1,4,2,4,2,5,5,1,4,2,2,3,2,1,1,5,4,2,2,1,1,2,4,1,1,2,7,6,NA,NA
KHB,19,1,4.333333333333333,4,3,6,4,4,5,21,0,1,0,3,3,3,3,3,2,2,1,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,1,3,2,3,2,1,1,2,3,2,1,1,6,6,NA,NA
KHC,19,1,5,7,1,7,4,4,7,20,1,1,0,3,2,2,3,4,2,2,4,2,4,4,4,1,4,4,4,4,3,3,3,1,1,1,2,1,3,1,1,4,1,1,1,2,2,1,4,8,7,NA,NA
KIA,20,1,3.5,2,1,7,3,6,2,23,0,0,1,3,1,4,2,4,1,1,1,4,4,1,2,1,4,2,3,3,2,3,1,2,1,3,3,2,4,3,2,3,2,1,2,3,1,2,1,3,5,NA,NA
KIB,20,1,2.8333333333333335,7,5,1,2,1,1,21,0,0,1,4,2,4,4,2,2,1,1,4,4,2,2,2,4,2,4,2,2,4,2,3,2,2,2,2,4,4,3,4,2,1,2,4,2,2,2,6,6,NA,NA
KIC,20,1,4,7,7,1,1,1,7,20,0,0,1,4,1,3,2,2,1,1,1,4,3,1,2,1,3,2,3,5,2,3,1,1,1,2,1,1,4,3,3,3,1,1,3,4,1,1,3,8,6,NA,NA
KJA,21,1,5.166666666666667,7,7,7,1,2,7,21,0,1,0,5,1,4,1,4,1,1,1,4,4,1,2,1,4,1,5,4,1,4,1,2,1,4,1,1,5,4,4,3,1,1,2,4,1,2,1,8,7,5,5
KJB,21,1,2.5,2,3,3,2,2,3,22,0,1,0,4,1,4,4,3,1,2,1,4,3,2,2,1,2,1,4,2,1,4,1,2,1,2,3,1,4,4,3,2,1,1,4,5,2,3,2,6,8,2,1
KJC,21,1,3.8333333333333335,4,7,1,5,3,3,20,1,1,0,3,1,3,2,4,1,1,1,2,2,1,3,1,1,1,3,4,1,3,1,1,1,1,2,1,1,2,1,2,1,1,1,3,1,1,2,4,4,6,5
KKA,22,1,2.3333333333333335,3,2,1,5,2,1,23,1,3,1,3,1,2,2,2,1,1,1,3,2,2,2,3,3,2,4,4,2,3,1,1,1,2,1,2,5,4,3,4,1,1,3,4,1,1,2,6,8,5,5
KKB,22,1,3.1666666666666665,7,5,4,1,1,1,22,1,3,1,4,2,4,3,4,1,1,1,4,4,3,4,1,3,3,3,4,2,4,2,3,3,4,3,1,4,4,4,4,1,1,4,4,1,1,1,8,7,4,5
KKC,22,1,1,1,1,1,1,1,1,20,1,3,1,4,1,3,2,3,1,1,1,3,3,1,4,1,2,3,4,3,2,4,1,1,1,2,1,1,4,3,1,2,1,1,3,3,1,1,1,4,4,5,6
KLA,23,1,6,7,7,7,7,1,7,20,0,1,0,3,1,3,4,3,1,1,2,3,4,2,2,2,1,2,1,3,1,3,1,2,2,2,2,1,5,1,1,5,2,1,1,3,1,1,4,9,8,6,6
KLB,23,1,1.3333333333333333,1,1,1,2,2,1,21,0,1,0,3,1,1,2,3,1,2,1,3,1,1,4,1,2,2,2,4,1,4,1,2,1,1,4,1,4,3,1,3,1,1,2,1,1,1,2,4,6,5,6
KLC,23,1,3.5,6,5,1,3,5,1,21,1,1,0,5,4,4,4,3,2,3,1,4,3,1,3,2,4,2,4,4,1,4,2,3,2,1,2,3,5,1,2,5,3,1,4,4,2,2,4,8,8,5,5
KMA,24,1,4,4,3,5,4,3,5,21,0,0,1,5,2,3,2,2,1,1,1,3,3,2,4,2,3,1,3,4,1,4,2,3,4,2,3,3,4,2,3,4,2,4,3,3,2,2,4,7,6,2,2
KMB,24,1,5.166666666666667,5,5,6,6,5,4,19,0,0,1,5,1,4,2,2,1,1,1,5,3,1,1,2,4,1,4,4,1,4,1,2,2,2,1,1,5,5,3,4,1,1,3,4,3,3,3,8,6,7,7
KMC,24,1,7,7,7,7,7,7,7,19,0,0,1,4,2,4,1,3,2,1,1,4,3,2,4,2,2,1,3,4,1,4,1,2,1,2,1,1,5,2,3,3,1,1,2,4,1,1,3,7,4,3,5
KNA,27,1,5.333333333333333,7,5,5,5,5,5,20,1,1,0,4,1,1,1,1,1,1,1,3,1,1,2,1,1,2,2,4,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1
KNB,27,1,6.333333333333333,7,7,7,6,6,5,22,0,1,0,4,1,4,3,4,1,1,1,3,4,1,2,1,4,1,5,4,1,4,1,2,1,3,1,1,5,3,3,3,1,1,3,4,1,1,3,6,7,6,6
KNC,27,1,5.5,5,6,7,5,5,5,22,0,1,0,3,2,4,4,2,4,2,3,2,1,2,4,3,4,4,3,4,3,4,3,3,4,1,4,4,3,1,1,4,4,4,1,1,1,3,5,7,8,3,2
KOA,30,1,1.8333333333333333,5,1,2,1,1,1,19,0,0,1,4,1,4,1,4,1,2,1,5,3,1,1,2,2,2,4,1,1,4,1,3,3,2,2,1,5,1,2,4,2,1,1,4,3,2,1,8,5,3,2
KOB,30,1,2.1666666666666665,2,4,1,4,1,1,19,0,0,1,4,2,4,3,3,1,2,1,4,4,1,3,1,4,2,3,4,2,4,2,4,4,2,3,3,5,4,3,3,2,2,2,4,2,2,4,4,4,5,4
KOC,30,1,2.5,5,4,1,3,1,1,19,0,0,1,4,1,4,1,2,1,1,1,4,2,1,3,2,3,3,3,3,2,4,1,2,2,3,2,1,5,5,4,2,3,1,5,3,2,1,2,4,3,4,3
KPA,31,1,7,7,7,7,7,7,7,21,1,1,0,4,2,4,4,2,1,1,1,2,3,1,1,2,1,4,2,1,2,4,1,1,1,2,1,1,5,1,4,4,1,1,4,4,1,2,1,8,7,4,5
KPB,31,1,7,7,7,7,7,7,7,26,0,1,0,3,1,1,1,4,1,1,1,3,3,1,2,1,2,1,2,3,1,3,1,2,2,2,1,1,4,3,2,3,2,1,2,2,1,1,3,7,6,5,3
KPC,31,1,7,7,7,7,7,7,7,20,0,1,0,3,2,3,1,4,2,2,1,4,4,2,3,2,4,3,3,4,2,4,2,3,2,2,2,2,4,4,3,4,2,1,3,3,3,3,2,7,7,5,5
KQA,33,1,5.333333333333333,7,2,4,7,7,5,22,1,2,0,4,2,4,1,3,1,1,1,4,3,1,5,1,4,2,4,5,1,4,1,1,1,3,2,1,3,4,3,1,1,1,2,4,1,1,1,3,6,1,1
KQB,33,1,6.166666666666667,7,7,6,7,5,5,22,1,2,0,4,1,4,4,4,1,1,2,4,3,1,2,1,3,2,3,4,1,5,2,1,2,3,1,1,2,3,2,3,1,1,3,4,1,1,3,7,7,5,6
KQC,33,1,4.5,5,4,5,4,5,4,25,0,2,0,3,2,4,3,4,1,2,1,4,3,1,3,2,4,3,4,3,2,4,3,2,2,3,2,2,5,3,4,2,1,1,4,3,2,2,3,7,4,5,5
KRA,34,1,2.3333333333333335,4,2,2,2,2,2,21,0,0,1,4,1,2,1,4,1,1,1,3,3,1,3,1,1,1,4,4,1,3,1,1,1,NA,1,1,5,2,1,3,1,1,1,4,1,1,2,3,3,7,7
KRB,34,1,1.8333333333333333,4,2,1,1,2,1,20,0,0,1,4,1,3,4,2,3,2,1,4,1,2,3,4,4,3,2,3,2,2,1,1,1,2,3,2,4,3,2,4,4,1,2,3,1,2,3,8,7,4,4
KRC,34,1,1.1666666666666667,1,1,1,2,1,1,22,0,0,1,4,1,2,1,3,1,1,1,4,3,1,3,1,3,2,3,4,2,4,1,2,2,3,2,3,4,3,3,4,3,1,2,4,3,3,4,8,7,4,5
KSA,35,1,4.166666666666667,4,4,5,6,2,4,20,0,1,0,4,2,4,4,3,2,3,1,4,3,1,4,1,2,4,4,3,4,3,3,3,2,2,4,1,5,3,4,4,3,1,3,4,2,4,1,7,7,5,5
KSB,35,1,4.166666666666667,5,3,5,6,4,2,23,0,1,0,3,1,2,1,3,1,1,1,2,2,1,3,1,1,1,3,2,1,2,1,1,1,2,2,1,3,2,1,3,1,1,1,2,1,1,1,7,4,3,4
KSC,35,1,3.5,1,3,6,2,4,5,20,1,1,0,4,1,4,2,2,2,1,1,3,2,1,4,1,5,2,3,4,1,3,1,2,2,1,2,1,4,3,2,3,1,1,4,4,1,1,2,6,8,6,6
KTA,38,1,2.6666666666666665,6,6,1,1,1,1,20,1,2,0,2,2,2,2,2,1,3,1,2,1,1,2,1,2,3,2,3,2,2,2,2,2,2,2,1,2,1,1,3,1,1,1,1,1,1,2,3,3,2,3
KTB,38,1,3.3333333333333335,4,2,5,1,1,7,21,0,2,0,4,1,4,4,5,1,2,1,4,5,1,2,1,4,1,5,2,1,5,1,2,1,1,2,3,5,5,1,3,1,2,1,5,1,2,2,3,3,6,7
KTC,38,1,5.666666666666667,7,1,7,5,7,7,20,1,2,0,4,1,3,1,3,2,1,1,3,3,2,2,1,4,2,3,2,1,4,1,4,3,1,4,2,4,NA,3,4,4,1,2,4,1,1,4,8,8,2,3
KUA,39,1,4,7,6,6,2,2,1,25,0,1,0,3,2,3,2,2,2,1,1,2,2,1,3,2,2,2,2,4,2,4,2,2,2,1,4,2,4,3,3,4,2,1,3,2,2,2,4,8,7,3,3
KUB,39,1,4,3,6,5,4,3,3,19,1,1,0,4,1,5,2,4,2,1,1,4,3,2,3,2,3,3,3,3,2,4,1,1,2,4,2,1,5,2,3,2,1,1,3,4,1,1,2,4,2,4,6
KUC,39,1,3.3333333333333335,4,4,2,1,4,5,19,0,1,0,3,1,2,4,1,1,1,1,3,1,1,4,2,1,4,4,4,2,3,3,4,2,1,5,3,5,1,1,3,1,1,1,3,1,1,3,4,5,4,5
KVA,41,1,3.5,3,4,3,6,3,2,21,0,1,0,3,4,3,3,4,1,1,1,3,3,2,5,1,4,2,3,5,1,5,1,1,1,4,1,2,4,4,4,3,3,1,4,3,1,1,3,6,7,6,6
KVB,41,1,3,4,3,4,2,3,2,26,1,1,0,4,3,3,3,3,2,2,2,2,2,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,3,6,5,5,5
KVC,41,1,3.5,1,4,3,5,1,7,20,0,1,0,5,1,3,4,3,1,1,1,3,2,1,3,1,3,2,3,5,2,5,1,1,1,4,4,1,5,3,3,4,2,1,1,4,2,1,3,8,7,5,5
KWA,44,1,4.166666666666667,5,3,4,6,5,2,21,1,2,0,4,2,3,4,3,1,1,1,2,2,1,3,3,4,3,2,4,1,3,1,4,2,2,3,1,4,2,1,4,1,1,3,2,2,3,3,8,7,5,4
KWB,44,1,3.1666666666666665,5,4,3,4,2,1,23,0,2,0,4,2,3,2,3,1,1,1,4,4,1,2,1,4,3,5,5,3,3,1,1,1,2,2,1,5,5,4,3,1,1,2,3,1,1,2,6,4,5,4
KWC,44,1,3.6666666666666665,5,2,6,1,4,4,21,1,2,0,2,1,3,2,3,1,2,1,3,3,1,2,1,2,2,3,4,1,3,1,1,1,1,1,1,4,3,3,2,1,1,3,3,1,1,1,6,8,6,7
KXA,47,1,5,6,6,7,5,4,2,NA,0,0,1,3,3,3,3,4,2,2,2,3,3,2,3,2,3,2,3,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2,2,2,3,4,4
KXB,47,1,1.1666666666666667,1,1,2,1,1,1,21,0,0,1,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,2,1,2,1,1,5,4,3,3,1,1,3,3,1,1,1,4,6,5,5
KXC,47,1,2,7,1,1,1,1,1,23,0,0,1,4,1,2,1,5,1,1,1,5,5,1,2,1,4,2,5,5,1,4,1,1,1,3,2,1,5,5,3,3,1,1,3,4,2,1,1,3,7,6,6
KYA,48,1,5,1,2,7,7,7,6,21,0,0,1,4,1,4,1,3,1,1,2,4,3,1,3,2,3,2,4,4,1,5,1,1,1,2,1,1,5,4,1,4,1,1,1,4,1,1,1,6,7,5,6
KYB,48,1,4,1,1,3,7,5,7,19,0,0,1,4,5,2,1,2,3,1,1,2,1,2,3,4,3,1,1,3,1,4,2,2,1,1,4,1,4,3,1,5,3,2,1,1,1,1,3,4,7,3,6
KYC,48,1,5.333333333333333,6,5,5,4,6,6,19,0,0,1,4,1,2,3,3,1,2,1,3,4,1,2,2,4,3,4,4,2,4,3,3,2,2,3,2,4,3,2,4,2,1,3,4,NA,2,2,4,5,5,5
